Standardised_Quarter,Overall unemployment rate,"Agriculture, forestry, fishing, mining, energy & water (A, B, D, E)",Manufacturing (C),Construction (F),"Wholesale, retail & repair of motor vehicles (G)",Transport & storage (H),Accommodation & food services (I),Information & communication (J),"Financial,  insurance & real estate activities (K, L)","Professional, scientific & technical activities (M)",Administrative & support services (N),Public admin & defence; social security (O),Education (P),Human health & social work activities (Q),"Other services (R, S, T)"
1995_Q1,8.9507078646269,7.375231297509243,8.859834663352032,13.064910851117492,7.983369276757192,6.908153582466074,11.1465284374548,6.811928057624031,4.014514734643959,4.325239280307215,11.097184354365607,4.562460682713638,3.4137527974208757,3.794349202979318,7.850067200955747
1995_Q2,8.595227706871697,6.481964438292664,7.964925259729054,12.458801477935204,7.424430804889987,7.007257229221636,9.962844717601453,6.54183452913817,4.032568800269498,4.372210683195709,11.033938555561027,4.298157887264846,3.639627646872818,3.7234235302354235,6.498981550393671
1995_Q3,8.88491212750266,6.122547747614164,7.979558974564892,11.686721376091125,7.589674214015601,7.369748491406887,9.459627041507732,6.411621675445491,4.262474361828356,4.432430266110933,10.113778284353552,4.484188334933492,4.579206967273109,3.513187143307234,6.842640814903501
1995_Q4,8.123446407326428,5.038841849283187,7.645848839622451,11.537069727778775,6.737550499456768,6.860964168080646,10.023650719585724,5.191764895185946,4.269882754259658,4.241875665846957,10.265008394029177,4.192403620902317,3.313536608281987,3.4211178543781084,7.259723094388672
1996_Q1,8.300880483243386,6.589230055997336,8.017046509503194,12.348846517986715,6.8111188813803984,7.463956374139892,11.251616355975722,4.903385665349081,3.9703216039712017,4.198554924177181,10.899347257018952,3.4457734507804045,3.400728640811367,3.2653684728573715,7.554345215595286
1996_Q2,8.192943464925477,6.126280564635415,7.83286631648336,11.471948136000396,6.841372144838815,5.970200614921323,10.701388810668949,5.784229367453794,3.2326217012811758,3.6062828946308225,9.48507983030725,3.9853211905467,3.2062154620561363,3.5080960037935047,7.53633799477723
1996_Q3,8.30569936055166,5.773316451959054,7.112408779426669,10.81163596118802,7.067237319938044,5.504691585269276,9.829541921672782,5.702598155442102,3.8862925586852253,4.2704272929511715,9.008960034791285,3.8293632834192417,3.491602694297579,3.5058202033021617,7.371951384932585
1996_Q4,7.655703103420149,5.8259683737124615,6.529267308133307,9.963171246346098,6.301097351889692,5.151218864568913,10.117939025493163,4.981940363170585,3.286349302838038,3.400049740951912,9.305664738680674,4.077526800198221,3.180498387772436,3.4035844856307285,6.8071988935117
1997_Q1,7.376654543786186,5.557146274242259,6.154853498086694,10.290505737985372,6.087887100334032,6.09982171958112,10.070804493022155,4.395465659447257,2.6289098014712393,3.0255675821882146,8.649735772927816,3.6085294184314782,2.6423889024811746,3.3257131992330575,6.412039680999186
1997_Q2,7.115846881215725,5.833717549098175,5.9999640763736295,9.164087683142293,5.828413798271352,5.432175976739659,9.097916568410131,3.454176673232773,2.835953205815472,2.789866191996072,8.807821054405128,3.646228974498101,2.8899733702474104,3.1849890975707984,5.630156720049548
1997_Q3,7.082262334667326,4.802167198930412,5.5461475831586995,8.425809963107252,5.498610580719792,4.299736496733254,8.953730432670309,3.626912796225535,2.8971090813226974,3.045660697720521,8.933519745669782,3.3307105121917187,3.449849934393429,3.3864003748579288,5.9878068468823455
1997_Q4,6.351595705345249,4.6977478729641575,5.356157666275891,7.385984576757531,5.110872644705034,4.47477402615022,8.658905191306122,3.8733184524938777,2.541027306442685,2.359110500584588,7.940488657569625,2.893704621392954,2.7787364783900053,3.0629992694743113,5.233069696222118
1998_Q1,6.4119258527373075,4.930144916756542,5.889861132750657,6.947290701164219,5.394472774935659,5.064398538574421,8.503624314841389,3.775060347648454,2.5382400091811887,2.721742929648503,7.732238130116582,3.1347217380505557,2.4446675901968975,2.906322377011699,5.253038948151823
1998_Q2,6.208339356247892,3.9442801992080723,5.7554771716050155,6.4934570642030645,5.50205073889236,5.0517122654977245,7.505504758350439,3.8597498496541522,2.15536776932221,2.5349831656789563,6.41355967993113,3.1730864175927467,2.6238730949251803,2.837423592103726,5.087550876193502
1998_Q3,6.473321050184275,3.713570130317831,5.925976988518357,6.162128472103772,5.195808689408413,4.794106143793545,7.862614307658999,3.6075928592822355,2.4572224074715576,2.673859783124872,6.688107504827963,2.5638214448974432,3.4584042611337975,2.7240995883860353,4.9833610308104275
1998_Q4,5.960214026800792,4.643386035153047,5.7074392175728095,5.98827394591805,4.634688441733278,4.598407452498879,7.796743152081106,3.998129092609916,2.5726841308339745,2.7102941293757428,7.272240300280035,2.1473164133891496,2.7072443713599252,2.478430566967954,4.92546050280901
1999_Q1,6.2261750793181,5.193847544081644,6.15211144994682,6.857239023521819,5.122668717110352,4.927278416123706,9.079886330728609,4.211639499502483,2.252090501362671,2.6235725494350635,7.389706618699685,2.566180694644992,2.220313271069033,2.408764268689638,5.056571371555372
1999_Q2,5.951071192953945,4.722206651957013,6.051691110415032,6.335653963363723,4.630228912840711,4.699928553630711,7.90569487529176,3.7972876921564627,3.0476108667182547,2.7138796663581632,6.610822805757584,1.9471594980182545,2.4386733408326995,2.2876235122796698,3.9712530975468403
1999_Q3,6.1088574559191,4.298258573363509,5.702513531035863,5.878810149944012,4.4960326175611005,4.157101057843799,7.90415761119755,4.100386072033735,2.6707675811423774,2.8914882763715677,6.623933720522607,2.0567813909155124,2.6645759299293914,2.933701785710199,4.104509396435048
1999_Q4,5.631757614987228,3.4352161091985143,5.112517283556968,5.888273279411664,4.319685971519932,3.7664360097633423,8.189833829458532,3.6560545996975766,2.153831798954964,2.5870468817973493,6.880903550842025,2.209703843579549,2.5784684212340507,2.4290478223529237,4.441119871628592
2000_Q1,5.845343657237175,3.2639236112478134,5.832754825601084,5.763794176303435,4.9200082445769695,3.910400290201489,8.265802924430641,3.889004664881935,2.2758953804175124,2.054610966019923,6.560457429321064,2.141851317175601,2.1840651680291643,2.7161814555534547,4.826325928329946
2000_Q2,5.382752037032637,3.5314873399865334,5.323444714361557,5.894200612266215,4.610860993151661,3.3976466977961035,7.066684860257172,3.2431515888873155,2.4712482964903275,1.883576848274104,6.522334303523252,1.6229802931302328,1.9267960747797437,2.205955298185132,3.6201381153337118
2000_Q3,5.540001257658161,3.7645263043126818,4.955959503477267,4.5253718833613314,4.720921010945904,3.2364847848503797,6.976650920659404,2.9004839073936077,2.1521617818738297,2.1280906836698548,5.955888643635679,1.4284486942490517,2.438554777115185,2.553057692270252,4.150307273527721
2000_Q4,5.066315787193557,3.7001933841200514,4.74374433341682,4.775510075648841,4.413857638702788,3.25937346521358,7.2031998349291495,2.577840821896218,1.7091926278997593,1.9899733355074514,5.934183398107255,1.622454629755231,2.0259607594490823,2.3323874792358463,4.326202563062764
2001_Q1,5.1378063623417685,3.635334916535481,4.821396536013769,5.238012853090545,4.439387943847602,4.302483013117211,7.66604693947619,3.4095945025200294,2.0290140731326565,1.7077526971774832,5.642325919505683,1.629672861885582,1.6739314499930693,2.2831893278497297,4.122913958276376
2001_Q2,4.8955517750585065,3.636945674661756,4.996032803823153,4.037158339466101,4.049757402730175,3.8572513382453244,7.295611905863174,3.4546430505764323,1.573009261921771,1.808155413316737,5.378281915053537,1.5620807422083791,1.611088545807295,1.7118248515969867,3.724229957887743
2001_Q3,5.312915809756374,3.394303056090265,4.789556719534214,3.932004355853702,4.303977302249707,3.8637258885452948,6.739092986666972,4.3092862473200215,2.294228108255448,2.6245645886098306,5.812819987712472,1.7519130408227883,2.0461718175499852,2.0911401231813476,3.569661883018047
2001_Q4,5.041604449441895,3.022506492257382,4.634883790311347,4.095640888458449,4.225298873284365,3.782161891290771,6.527182820747707,4.403984741340646,2.345025140123906,2.0784665815795504,6.28173282328978,1.807836922276131,1.7610843699079857,2.1319713774185267,4.458844430110876
2002_Q1,5.2049758219810895,3.016671293045736,5.42944892681536,4.876221188999637,4.819721516388837,4.135656105261864,7.641883955480959,5.101152247986809,2.5632834732238168,2.447765161428225,6.446520183750694,1.66849534546166,1.9097278490886314,1.9703680732056459,4.2607562482121475
2002_Q2,5.017781589715456,2.9485317898149614,5.242768285889237,4.817106341172523,4.556816679084379,3.7529116678695225,6.87076793544686,4.581909706706265,2.6574597884374116,2.3083974151589812,6.6318856346920185,1.5248806733258522,1.5694083356038402,2.194252083607788,4.172889179615664
2002_Q3,5.52203846709848,4.002477838073017,5.250577888416244,4.558902312547649,4.630375398552129,3.8319301619457966,7.992715294254224,4.97303411128033,2.6434540975805962,1.7030614764503147,6.317028599428448,1.9977902944695431,2.623490281997754,2.5819281650236188,3.9882265394530525
2002_Q4,4.99503468736139,3.1003220171556456,4.73525878384694,3.9546399158478076,4.224342791962976,3.8880427685921495,7.822712097737938,4.428575158840261,2.524642047380948,1.8820640814918528,6.313970616006345,1.3976438172574466,2.041787514787093,2.4580728633638227,3.854218759596066
2003_Q1,5.184597971541802,4.253321738541202,5.6115296264769166,4.567295429789595,4.498399225705063,3.9850112981246895,7.386140006674538,5.173030379043138,3.204595621181059,2.149580851893587,5.774425875447412,1.9176531174264644,2.0228182337319196,2.128441758254735,4.249397866651821
2003_Q2,4.802253136872218,3.5427385076893976,5.151221899645166,3.8660496538770315,4.3480855185158385,3.655893919380414,7.828179182688596,4.807549237095553,2.994784888322928,2.4215769826640274,5.197147802257239,1.5213591661569879,1.5088239310960543,2.1036740529299673,3.6090959821428568
